 	Label	Area	Mean	Min	Max
368	correctedImage	384	156.258	67	218
369	correctedImage	398	105.309	66	128
370	correctedImage	586	148.838	66	218
371	correctedImage	86	70.698	66	85
372	correctedImage	281	91.520	66	120
373	correctedImage	186	74.274	66	87
374	correctedImage	340	84.400	66	108
375	correctedImage	133	73.293	66	85
376	correctedImage	11	68.364	66	72
377	correctedImage	1612	120.199	66	181
378	correctedImage	1939	139.408	66	216
379	correctedImage	152	73.947	66	86
380	correctedImage	1977	122.187	66	223
381	correctedImage	286	91.297	66	109
382	correctedImage	597	108.224	66	168
383	correctedImage	15	68.467	66	72
384	correctedImage	3	66.333	66	67
385	correctedImage	393	115.863	66	149
386	correctedImage	12	70.417	66	75
387	correctedImage	363	98.713	66	129
388	correctedImage	1	66.000	66	66
389	correctedImage	959	116.308	66	216
390	correctedImage	13	67.538	66	71
391	correctedImage	314	106.283	66	141
392	correctedImage	652	96.888	66	148
393	correctedImage	1815	130.413	66	197
394	correctedImage	559	109.165	66	171
395	correctedImage	359	153.393	66	205
396	correctedImage	497	101.590	66	170
397	correctedImage	373	169.456	66	216
398	correctedImage	594	104.537	66	155
399	correctedImage	182	78.033	66	96
400	correctedImage	239	81.573	66	102
401	correctedImage	537	85.672	66	120
402	correctedImage	1021	115.877	66	178
403	correctedImage	1946	139.800	66	229
404	correctedImage	480	77.427	66	102
405	correctedImage	723	101.985	66	142
406	correctedImage	863	104.397	66	157
407	correctedImage	1	66.000	66	66
408	correctedImage	4	66.500	66	68
409	correctedImage	367	80.627	66	104
410	correctedImage	1597	131.738	66	218
411	correctedImage	595	88.872	66	120
412	correctedImage	793	108.146	66	196
413	correctedImage	9	67.333	66	70
414	correctedImage	627	126.123	66	195
415	correctedImage	1000	124.468	66	190
416	correctedImage	5	69.200	66	71
417	correctedImage	2892	145.412	66	232
418	correctedImage	305	97.892	66	137
419	correctedImage	237	79.916	66	97
420	correctedImage	534	89.360	66	126
421	correctedImage	467	84.563	66	116
422	correctedImage	258	80.174	66	99
423	correctedImage	2064	131.447	66	190
424	correctedImage	983	142.033	66	208
425	correctedImage	965	117.238	66	169
426	correctedImage	3313	134.508	66	222
427	correctedImage	252	83.687	66	107
428	correctedImage	425	136.205	66	188
429	correctedImage	249	80.622	66	106
430	correctedImage	306	99.428	66	128
431	correctedImage	3	66.000	66	66
432	correctedImage	1879	116.387	66	212
433	correctedImage	1	66.000	66	66
434	correctedImage	2354	121.401	66	206
435	correctedImage	4	67.250	66	69
436	correctedImage	1800	125.463	66	230
437	correctedImage	529	116.934	66	171
438	correctedImage	983	110.024	66	190
439	correctedImage	860	126.338	66	198
440	correctedImage	608	112.495	66	152
441	correctedImage	286	89.507	66	107
442	correctedImage	300	90.653	66	115
443	correctedImage	262	81.145	66	107
444	correctedImage	2992	134.543	66	204
445	correctedImage	333	121.234	67	157
446	correctedImage	1469	103.993	66	191
447	correctedImage	235	78.379	66	98
448	correctedImage	2	66.000	66	66
449	correctedImage	897	145.048	66	206
450	correctedImage	2004	126.409	66	209
451	correctedImage	907	107.605	66	188
452	correctedImage	538	135.112	66	213
453	correctedImage	2	67.000	67	67
454	correctedImage	294	91.337	66	122
455	correctedImage	2	66.000	66	66
456	correctedImage	3	67.333	66	68
457	correctedImage	18	68.889	66	74
458	correctedImage	369	146.060	66	203
459	correctedImage	508	80.230	66	110
460	correctedImage	289	91.945	66	119
461	correctedImage	1242	132.079	66	211
462	correctedImage	560	168.150	66	222
463	correctedImage	830	100.787	66	148
464	correctedImage	302	97.474	66	127
465	correctedImage	295	96.071	66	122
466	correctedImage	935	118.842	66	181
467	correctedImage	326	91.463	66	117
468	correctedImage	750	131.535	66	183
469	correctedImage	512	82.453	66	107
470	correctedImage	319	97.276	66	125
471	correctedImage	13	67.923	66	72
472	correctedImage	2745	121.818	66	181
473	correctedImage	22	70.773	66	77
474	correctedImage	165	71.521	66	83
475	correctedImage	265	83.868	66	111
476	correctedImage	237	84.684	66	111
477	correctedImage	561	123.934	66	200
478	correctedImage	924	89.808	66	147
479	correctedImage	385	162.447	66	204
480	correctedImage	985	112.817	66	205
481	correctedImage	1	66.000	66	66
482	correctedImage	1514	116.077	66	198
483	correctedImage	309	103.142	66	144
484	correctedImage	327	105.691	67	139
485	correctedImage	15	68.133	66	72
486	correctedImage	898	112.504	66	154
487	correctedImage	832	99.267	66	144
488	correctedImage	1	66.000	66	66
489	correctedImage	304	102.451	66	141
490	correctedImage	6	66.667	66	68
491	correctedImage	322	99.898	66	142
492	correctedImage	964	129.493	66	194
493	correctedImage	20	67.450	66	71
494	correctedImage	1	67.000	67	67
495	correctedImage	1517	101.753	66	161
496	correctedImage	1	66.000	66	66
497	correctedImage	587	92.380	66	125
498	correctedImage	330	112.721	66	143
499	correctedImage	1051	121.659	66	188
500	correctedImage	6013	108.851	66	191
501	correctedImage	183	75.448	66	93
502	correctedImage	2819	115.167	66	184
503	correctedImage	3316	115.225	66	213
504	correctedImage	377	97.812	66	132
505	correctedImage	442	111.706	66	151
506	correctedImage	244	82.504	66	104
507	correctedImage	1024	126.590	66	185
508	correctedImage	1239	119.534	66	197
509	correctedImage	506	106.091	66	141
510	correctedImage	276	74.464	66	92
511	correctedImage	4	69.250	66	72
512	correctedImage	872	97.759	66	170
513	correctedImage	219	76.808	66	93
514	correctedImage	9	66.667	66	68
515	correctedImage	37	72.730	66	83
516	correctedImage	746	91.280	66	124
517	correctedImage	260	81.581	66	112
518	correctedImage	584	94.354	66	136
519	correctedImage	3	66.000	66	66
520	correctedImage	36	68.250	66	74
521	correctedImage	256	76.957	66	94
522	correctedImage	341	126.880	66	167
523	correctedImage	117	73.359	66	85
524	correctedImage	3	66.000	66	66
525	correctedImage	112	72.054	66	83
526	correctedImage	563	151.060	66	196
527	correctedImage	166	73.398	66	94
528	correctedImage	899	99.930	66	144
529	correctedImage	335	94.627	66	131
530	correctedImage	2	66.500	66	67
531	correctedImage	368	98.739	66	147
532	correctedImage	1034	134.867	66	188
533	correctedImage	1	67.000	67	67
534	correctedImage	1	66.000	66	66
535	correctedImage	2	66.500	66	67
536	correctedImage	376	114.593	66	159
537	correctedImage	2	67.000	66	68
538	correctedImage	522	150.144	66	203
539	correctedImage	22	69.136	66	74
540	correctedImage	565	125.789	66	187
541	correctedImage	2	66.000	66	66
542	correctedImage	9	67.667	66	71
543	correctedImage	78	71.962	66	84
544	correctedImage	3	66.000	66	66
545	correctedImage	1649	108.142	66	191
546	correctedImage	490	99.163	66	146
547	correctedImage	393	153.990	67	185
548	correctedImage	299	114.361	66	147
549	correctedImage	1249	117.562	66	171
550	correctedImage	4147	122.410	66	170
551	correctedImage	138	72.123	66	92
552	correctedImage	9	68.222	66	70
553	correctedImage	4	67.000	66	68
554	correctedImage	1254	140.037	66	210
555	correctedImage	287	92.753	66	124
556	correctedImage	627	82.407	66	110
557	correctedImage	664	121.258	66	172
558	correctedImage	1	67.000	67	67
559	correctedImage	3558	108.303	66	175
560	correctedImage	261	79.567	66	119
561	correctedImage	9	66.889	66	70
562	correctedImage	303	105.828	66	135
563	correctedImage	2	66.000	66	66
564	correctedImage	2	66.000	66	66
565	correctedImage	161	73.689	66	96
566	correctedImage	94	79.372	66	97
567	correctedImage	341	126.460	67	170
568	correctedImage	376	133.721	66	177
569	correctedImage	2459	132.313	66	219
570	correctedImage	979	126.380	66	185
571	correctedImage	2184	122.688	66	194
572	correctedImage	99	74.101	66	84
573	correctedImage	40	72.100	66	83
574	correctedImage	576	126.861	66	193
575	correctedImage	2	67.500	67	68
576	correctedImage	933	98.703	66	143
577	correctedImage	18	67.667	66	72
578	correctedImage	1	67.000	67	67
579	correctedImage	1	66.000	66	66
580	correctedImage	201	76.776	66	97
581	correctedImage	328	125.262	66	175
582	correctedImage	286	84.371	66	108
583	correctedImage	1274	125.819	66	207
584	correctedImage	2153	105.623	66	183
585	correctedImage	290	94.817	66	128
586	correctedImage	12	68.000	66	71
587	correctedImage	669	112.505	66	165
588	correctedImage	1	66.000	66	66
589	correctedImage	3	66.667	66	67
590	correctedImage	413	77.286	66	98
591	correctedImage	239	84.167	66	102
592	correctedImage	1	66.000	66	66
593	correctedImage	145	73.441	66	98
594	correctedImage	2872	103.659	66	173
595	correctedImage	1585	98.470	66	149
596	correctedImage	758	129.015	66	173
597	correctedImage	1116	121.029	66	183
598	correctedImage	1765	114.260	66	210
599	correctedImage	631	130.796	66	180
600	correctedImage	510	125.424	66	179
601	correctedImage	1	67.000	67	67
602	correctedImage	364	129.876	66	181
603	correctedImage	1	66.000	66	66
604	correctedImage	272	82.309	66	111
605	correctedImage	691	103.437	66	143
606	correctedImage	3	66.667	66	68
607	correctedImage	395	138.056	66	170
608	correctedImage	488	117.891	66	183
609	correctedImage	343	135.918	67	188
610	correctedImage	904	128.406	66	172
611	correctedImage	26	70.346	66	81
612	correctedImage	408	134.299	66	191
613	correctedImage	764	118.302	66	183
614	correctedImage	3	66.333	66	67
615	correctedImage	576	126.681	66	185
616	correctedImage	296	102.166	66	137
617	correctedImage	339	125.546	66	177
618	correctedImage	220	82.327	66	102
619	correctedImage	352	89.955	66	114
620	correctedImage	140	72.771	66	82
621	correctedImage	905	116.393	66	183
622	correctedImage	2351	132.370	66	204
623	correctedImage	2	66.000	66	66
624	correctedImage	485	85.981	66	123
625	correctedImage	12	68.667	66	73
626	correctedImage	343	118.187	66	160
627	correctedImage	321	111.187	67	151
628	correctedImage	208	74.332	66	90
629	correctedImage	1	66.000	66	66
630	correctedImage	494	90.899	66	147
631	correctedImage	1	66.000	66	66
632	correctedImage	783	99.314	66	134
633	correctedImage	6	67.833	66	70
634	correctedImage	1	66.000	66	66
635	correctedImage	2125	125.780	66	196
636	correctedImage	1782	98.258	66	164
637	correctedImage	809	99.965	66	172
638	correctedImage	700	111.299	66	200
639	correctedImage	5591	112.573	66	174
640	correctedImage	206	73.335	66	90
641	correctedImage	1037	115.128	66	188
642	correctedImage	3	66.667	66	67
643	correctedImage	375	126.147	67	162
644	correctedImage	372	78.046	66	106
645	correctedImage	1077	109.997	66	176
646	correctedImage	20	69.600	66	76
647	correctedImage	5	68.000	66	70
648	correctedImage	255	80.925	66	105
649	correctedImage	1396	96.518	66	145
650	correctedImage	1969	127.007	66	206
651	correctedImage	3036	108.274	66	175
652	correctedImage	569	102.012	66	161
653	correctedImage	13	68.462	66	72
654	correctedImage	2215	112.158	66	179
655	correctedImage	264	87.114	66	102
656	correctedImage	3	67.000	66	68
657	correctedImage	441	89.361	66	132
658	correctedImage	822	93.367	66	139
659	correctedImage	5	66.600	66	67
660	correctedImage	4	67.000	66	68
661	correctedImage	52	71.250	66	79
662	correctedImage	314	110.111	66	136
663	correctedImage	267	86.633	66	112
664	correctedImage	44	67.295	66	70
665	correctedImage	624	113.769	67	155
666	correctedImage	581	100.714	66	140
667	correctedImage	284	95.669	66	125
668	correctedImage	497	96.905	66	129
669	correctedImage	877	104.814	66	155
670	correctedImage	784	144.102	66	182
671	correctedImage	2	66.500	66	67
672	correctedImage	317	101.912	66	134
673	correctedImage	316	114.323	66	148
674	correctedImage	789	117.868	66	169
675	correctedImage	282	86.447	67	109
676	correctedImage	14	69.571	66	77
677	correctedImage	3041	115.348	66	192
678	correctedImage	492	130.354	66	178
679	correctedImage	566	91.217	66	119
680	correctedImage	585	104.178	66	158
681	correctedImage	364	115.324	66	166
682	correctedImage	576	97.634	66	144
683	correctedImage	1	66.000	66	66
684	correctedImage	681	113.648	66	175
685	correctedImage	559	112.050	66	155
686	correctedImage	911	95.306	66	130
687	correctedImage	25	68.720	66	76
688	correctedImage	36	70.278	66	79
689	correctedImage	381	76.654	66	107
690	correctedImage	2893	114.437	66	163
691	correctedImage	1224	90.042	66	131
692	correctedImage	784	135.008	66	174
693	correctedImage	844	126.540	66	184
694	correctedImage	274	86.690	66	106
695	correctedImage	411	81.669	66	109
696	correctedImage	127	70.843	66	84
697	correctedImage	360	124.150	66	173
698	correctedImage	304	100.964	66	134
699	correctedImage	510	132.833	66	181
700	correctedImage	1	66.000	66	66
701	correctedImage	2371	132.797	66	189
702	correctedImage	1	66.000	66	66
703	correctedImage	545	87.624	66	109
704	correctedImage	10	68.100	66	71
705	correctedImage	424	105.427	66	147
706	correctedImage	362	71.754	66	87
707	correctedImage	500	124.908	66	169
708	correctedImage	282	81.454	66	93
709	correctedImage	1799	109.469	66	172
710	correctedImage	1	66.000	66	66
711	correctedImage	4	67.250	66	69
712	correctedImage	7	68.000	66	69
713	correctedImage	4	66.000	66	66
714	correctedImage	1439	90.151	66	133
715	correctedImage	1218	115.140	66	194
716	correctedImage	51	70.588	66	82
717	correctedImage	69	70.145	66	81
718	correctedImage	363	113.446	66	156
719	correctedImage	187	76.225	66	91
720	correctedImage	23	69.435	66	74
721	correctedImage	48	69.167	66	75
722	correctedImage	628	117.061	66	174
723	correctedImage	2704	104.972	66	175
724	correctedImage	1	66.000	66	66
725	correctedImage	1	66.000	66	66
726	correctedImage	1650	134.546	66	198
727	correctedImage	743	93.215	66	129
728	correctedImage	176	77.307	66	97
729	correctedImage	553	98.058	66	123
730	correctedImage	539	88.353	66	124
731	correctedImage	1537	109.522	66	160
732	correctedImage	635	106.017	66	161
733	correctedImage	494	80.883	66	104
734	correctedImage	883	97.821	66	167
735	correctedImage	372	144.624	66	182
736	correctedImage	291	95.065	66	132
737	correctedImage	920	121.086	66	170
738	correctedImage	594	102.355	66	154
739	correctedImage	2758	116.350	66	156
740	correctedImage	556	133.192	66	186
741	correctedImage	269	76.387	66	93
742	correctedImage	51	73.961	66	90
743	correctedImage	36	71.194	66	80
744	correctedImage	197	76.558	66	91
745	correctedImage	467	85.364	66	111
746	correctedImage	1044	135.069	66	164
747	correctedImage	1616	137.576	66	186
748	correctedImage	45	73.578	66	88
749	correctedImage	4128	117.632	66	172
750	correctedImage	546	145.573	66	174
751	correctedImage	3489	123.915	66	197
752	correctedImage	164	69.915	66	78
753	correctedImage	293	91.321	66	115
754	correctedImage	2299	89.358	66	155
755	correctedImage	603	124.307	66	162
756	correctedImage	280	89.625	67	116
757	correctedImage	7	66.714	66	67
758	correctedImage	1	66.000	66	66
759	correctedImage	227	73.608	66	92
760	correctedImage	495	93.444	66	125
761	correctedImage	4	67.000	66	69
762	correctedImage	98	72.908	66	83
763	correctedImage	1242	120.696	66	173
764	correctedImage	856	108.160	66	165
765	correctedImage	339	109.920	66	140
766	correctedImage	18	69.556	66	73
767	correctedImage	96	75.000	66	88
768	correctedImage	5	66.200	66	67
769	correctedImage	175	73.577	66	90
770	correctedImage	177	75.497	66	92
771	correctedImage	257	76.914	66	99
772	correctedImage	1	66.000	66	66
773	correctedImage	1243	101.955	66	174
774	correctedImage	1450	87.557	66	149
775	correctedImage	1	66.000	66	66
776	correctedImage	299	95.074	67	124
777	correctedImage	403	135.660	66	184
778	correctedImage	326	88.021	66	109
779	correctedImage	179	73.095	66	84
780	correctedImage	1	66.000	66	66
781	correctedImage	329	104.663	66	133
782	correctedImage	67	69.716	66	76
783	correctedImage	542	122.815	66	156
784	correctedImage	2549	105.170	66	160
785	correctedImage	245	76.371	66	93
786	correctedImage	195	73.421	66	84
787	correctedImage	2397	124.738	66	186
788	correctedImage	39	70.359	66	77
789	correctedImage	3	66.000	66	66
790	correctedImage	1	66.000	66	66
791	correctedImage	1143	139.217	66	168
792	correctedImage	441	92.458	66	130
793	correctedImage	2	67.000	67	67
794	correctedImage	1	66.000	66	66
795	correctedImage	1314	90.801	66	151
796	correctedImage	4	66.750	66	67
797	correctedImage	1595	94.885	66	164
798	correctedImage	117	75.761	66	93
799	correctedImage	136	72.794	66	86
800	correctedImage	196	71.684	66	86
801	correctedImage	1	66.000	66	66
802	correctedImage	414	130.024	66	168
803	correctedImage	2	66.000	66	66
804	correctedImage	2	67.500	66	69
805	correctedImage	1	66.000	66	66
806	correctedImage	355	135.141	67	179
807	correctedImage	284	94.229	66	117
808	correctedImage	1	66.000	66	66
809	correctedImage	672	121.305	66	160
810	correctedImage	274	89.953	66	125
811	correctedImage	128	71.547	66	87
812	correctedImage	533	80.576	66	113
813	correctedImage	748	142.684	66	170
814	correctedImage	680	79.251	66	102
815	correctedImage	6	66.500	66	68
816	correctedImage	1344	118.871	66	201
817	correctedImage	324	94.778	66	130
818	correctedImage	5	67.400	66	69
819	correctedImage	3	67.000	66	68
820	correctedImage	1886	91.801	66	156
821	correctedImage	512	104.141	66	142
822	correctedImage	446	76.962	66	100
823	correctedImage	498	108.048	66	148
824	correctedImage	607	112.840	66	156
825	correctedImage	1020	131.998	66	166
826	correctedImage	60	70.783	66	80
827	correctedImage	535	108.695	66	158
828	correctedImage	1760	117.881	66	157
829	correctedImage	1051	142.022	66	179
830	correctedImage	1	66.000	66	66
831	correctedImage	39	69.564	66	75
832	correctedImage	3628	115.646	66	157
833	correctedImage	324	120.633	67	164
834	correctedImage	16	68.125	66	74
835	correctedImage	315	109.565	66	141
836	correctedImage	525	104.164	66	152
837	correctedImage	686	124.048	66	162
838	correctedImage	1046	115.775	66	164
839	correctedImage	1053	92.545	66	144
840	correctedImage	1	66.000	66	66
841	correctedImage	3	66.667	66	67
842	correctedImage	1745	100.927	66	150
843	correctedImage	532	87.310	66	125
844	correctedImage	813	98.347	66	157
845	correctedImage	624	104.647	66	158
846	correctedImage	21	68.190	66	71
847	correctedImage	50	67.900	66	72
848	correctedImage	334	121.060	67	158
849	correctedImage	806	113.216	66	168
850	correctedImage	330	89.555	66	109
851	correctedImage	623	118.544	66	193
852	correctedImage	635	123.795	66	171
853	correctedImage	506	130.672	66	176
854	correctedImage	14	67.571	66	70
855	correctedImage	317	112.246	67	140
856	correctedImage	318	116.777	66	157
857	correctedImage	529	108.817	66	159
858	correctedImage	78	71.564	66	81
859	correctedImage	7	66.571	66	68
860	correctedImage	3	67.667	67	68
861	correctedImage	1147	98.942	66	147
862	correctedImage	548	123.376	66	162
863	correctedImage	564	114.715	66	160
864	correctedImage	485	99.124	66	128
865	correctedImage	132	70.894	66	78
866	correctedImage	883	115.985	66	159
867	correctedImage	289	95.090	66	124
868	correctedImage	986	105.178	66	169
869	correctedImage	1580	123.858	66	177
870	correctedImage	339	123.882	66	169
871	correctedImage	643	120.123	66	157
872	correctedImage	590	98.003	66	148
873	correctedImage	351	117.635	66	164
874	correctedImage	2114	112.336	66	150
875	correctedImage	18	67.944	66	73
876	correctedImage	1	66.000	66	66
877	correctedImage	365	74.079	66	96
878	correctedImage	305	94.492	66	125
879	correctedImage	708	112.496	66	159
880	correctedImage	276	82.217	66	97
881	correctedImage	904	106.986	66	152
882	correctedImage	768	97.139	66	135
883	correctedImage	618	103.212	66	169
884	correctedImage	1248	132.835	66	196
885	correctedImage	276	87.236	66	121
886	correctedImage	7	69.571	68	73
887	correctedImage	87	73.230	66	91
888	correctedImage	1	66.000	66	66
889	correctedImage	256	81.848	66	102
890	correctedImage	518	117.278	66	183
891	correctedImage	613	103.980	66	156
892	correctedImage	1260	123.063	66	165
893	correctedImage	2	66.500	66	67
894	correctedImage	14	70.357	66	78
895	correctedImage	208	75.639	66	91
896	correctedImage	1	66.000	66	66
897	correctedImage	503	135.416	67	168
898	correctedImage	284	86.937	66	108
899	correctedImage	497	117.362	66	169
900	correctedImage	10	68.000	66	70
901	correctedImage	342	95.064	66	136
902	correctedImage	349	111.966	66	142
903	correctedImage	3708	117.052	66	165
904	correctedImage	969	114.989	66	164
905	correctedImage	718	96.795	66	166
906	correctedImage	232	75.293	66	93
907	correctedImage	1	67.000	67	67
908	correctedImage	476	113.668	66	155
909	correctedImage	2	67.000	67	67
910	correctedImage	303	93.092	66	125
911	correctedImage	323	110.207	66	144
912	correctedImage	271	90.790	66	129
913	correctedImage	867	127.092	66	160
914	correctedImage	3	66.333	66	67
915	correctedImage	202	73.936	66	102
916	correctedImage	288	80.747	66	102
917	correctedImage	405	91.274	66	132
918	correctedImage	42	70.524	66	77
919	correctedImage	204	75.299	66	94
920	correctedImage	2465	109.652	66	155
921	correctedImage	3	67.000	67	67
922	correctedImage	510	85.339	66	111
923	correctedImage	314	89.576	66	126
924	correctedImage	2	66.000	66	66
925	correctedImage	869	95.189	66	148
926	correctedImage	135	74.815	66	93
927	correctedImage	579	95.556	66	123
928	correctedImage	1309	96.058	66	147
929	correctedImage	520	94.765	66	129
930	correctedImage	518	92.510	66	138
931	correctedImage	1871	117.494	66	154
932	correctedImage	1815	104.517	66	163
933	correctedImage	277	84.206	66	118
934	correctedImage	1658	138.456	66	182
935	correctedImage	1796	121.867	66	170
